Class,ImageFile,LeftCenterX,LeftCenterY,LeftOrient,RightCenterX,RightCenterY,RightOrient
c0,img_100026.jpg,498.8316205533597,-131.40758893280633,0.1695225830568714,444.3553555080867,-321.6484589563625,0.46637831461892276
c0,img_10003.jpg,404.4123879380603,-230.36104319478403,0.017138089802450858,395.96678765880216,-328.2742286751361,0.2375375251817237
c0,img_100050.jpg,341.84192439862545,-224.23711340206185,-0.014368818074403352,388.65983313468416,-341.2972586412396,0.1468270597149731
c0,img_100074.jpg,411.2624057612243,-200.11094857657253,0.17076817289782958,445.1206707317073,-284.31286585365854,0.6306532284249178
c0,img_10012.jpg,421.2320703653586,-189.0336039693279,0.19894898733871524,451.6580849508649,-251.279298302607,0.17566647713516687
c0,img_100145.jpg,369.5,-217.60705160960654,0.5588510407142986,421.0907345175228,-316.72395583293326,0.5746972581645399
c0,img_100191.jpg,394.80100810870044,-201.3846153846154,0.6306686491454307,428.32273079906906,-338.34251357641585,0.5626561091073432
c0,img_100257.jpg,454.66167120799275,-217.06993642143505,0.06690608483853025,463.9135982092893,-293.806155567991,0.6114303973652148
c0,img_100312.jpg,471.3049393670512,-131.1656314699793,0.37136073768694017,407.84667637069384,-335.57981562348374,0.1268512304166383
c0,img_100337.jpg,419.4289205702648,-231.43747454175153,0.20717053447187675,401.4776167820069,-332.1492214532872,0.08767286717386658
c0,img_100456.jpg,391.5427400468384,-223.8612412177986,-0.054335637731148495,426.7676699357457,-346.73182279337163,0.347239943392451
c0,img_1005.jpg,482.8720592974541,-156.95375443119562,0.1954792814046816,423.7876467585503,-340.3660030627871,-0.21676601857445385
c0,img_10053.jpg,405.3950484391819,-237.66523143164693,0.2882980837211847,394.3366886497744,-281.3586717574916,0.027197067050796327
c0,img_100542.jpg,408.3950136755733,-204.6997685672207,0.30126323493548096,442.80300571509207,-283.6417836731814,0.7206825902398682
c0,img_100598.jpg,358.16109785202866,-197.11575178997614,-0.1180532654087253,348.4864128377867,-315.40337597456664,0.4759247264253678
